features,model,accuracy,error
"('chroma', 'zcr', 'rms_energy')",CNN,0.6700251698493958,
"('chroma', 'zcr', 'rms_energy')",LSTM,0.6624684929847717,
"('chroma',)",CNN,0.6624684929847717,
"('chroma', 'zcr')",CNN,0.6599496006965637,
"('chroma', 'centroid', 'rms_energy')",Dense NN,0.6448362469673157,
"('chroma', 'rms_energy')",CNN,0.6347606778144836,
"('chroma', 'rms_energy')",LSTM,0.6347606778144836,
"('chroma',)",LSTM,0.6347606778144836,
"('zcr', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.6322417855262756,
"('chroma', 'rolloff')",CNN,0.6297228932380676,
"('chroma', 'centroid')",CNN,0.6272040009498596,
"('chroma', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.6146095991134644,
"('chroma', 'zcr')",LSTM,0.6120907068252563,
"('zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.6070529222488403,
"('zcr', 'centroid', 'rms_energy')",Dense NN,0.5994962453842163,
"('rolloff', 'centroid', 'rms_energy')",Dense NN,0.5869017839431763,
"('chroma', 'zcr')",Dense NN,0.5717884302139282,
"('chroma', 'zcr', 'rms_energy')",Dense NN,0.5692695379257202,
"('rolloff', 'centroid')",Dense NN,0.5642317533493042,
"('rolloff', 'rms_energy')",Dense NN,0.5617128610610962,
"('zcr', 'rolloff', 'centroid')",Dense NN,0.5591939687728882,
"('chroma', 'rms_energy')",Dense NN,0.5591939687728882,
"('chroma',)",Dense NN,0.5541561841964722,
"('zcr', 'rms_energy')",Dense NN,0.5465995073318481,
"('rms_energy',)",Dense NN,0.5390428304672241,
"('zcr',)",Dense NN,0.5365239381790161,
"('chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.5314861536026001,
"('centroid', 'rms_energy')",Dense NN,0.3425692617893219,
"('rolloff',)",Dense NN,0.3098236918449402,
"('centroid',)",Dense NN,0.3098236918449402,
"('zcr', 'rms_energy')",Error,0.0,"Exception encountered when calling Conv1D.call().

[1mNegative dimension size caused by subtracting 3 from 2 for '{{node sequential_99_1/conv1d_32_1/convolution}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](sequential_99_1/conv1d_32_1/convolution/ExpandDims, sequential_99_1/conv1d_32_1/convolution/ExpandDims_1)' with input shapes: [?,1,2,1], [1,3,1,32].[0m

Arguments received by Conv1D.call():
  • inputs=tf.Tensor(shape=(None, 2, 1), dtype=float32)"
"('zcr', 'rolloff')",Error,0.0,"Exception encountered when calling Conv1D.call().

[1mNegative dimension size caused by subtracting 3 from 2 for '{{node sequential_95_1/conv1d_30_1/convolution}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](sequential_95_1/conv1d_30_1/convolution/ExpandDims, sequential_95_1/conv1d_30_1/convolution/ExpandDims_1)' with input shapes: [?,1,2,1], [1,3,1,32].[0m

Arguments received by Conv1D.call():
  • inputs=tf.Tensor(shape=(None, 2, 1), dtype=float32)"
"('rolloff', 'centroid')",Error,0.0,"Exception encountered when calling Conv1D.call().

[1mNegative dimension size caused by subtracting 3 from 2 for '{{node sequential_101_1/conv1d_33_1/convolution}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](sequential_101_1/conv1d_33_1/convolution/ExpandDims, sequential_101_1/conv1d_33_1/convolution/ExpandDims_1)' with input shapes: [?,1,2,1], [1,3,1,32].[0m

Arguments received by Conv1D.call():
  • inputs=tf.Tensor(shape=(None, 2, 1), dtype=float32)"
"('rolloff', 'rms_energy')",Error,0.0,"Exception encountered when calling Conv1D.call().

[1mNegative dimension size caused by subtracting 3 from 2 for '{{node sequential_103_1/conv1d_34_1/convolution}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](sequential_103_1/conv1d_34_1/convolution/ExpandDims, sequential_103_1/conv1d_34_1/convolution/ExpandDims_1)' with input shapes: [?,1,2,1], [1,3,1,32].[0m

Arguments received by Conv1D.call():
  • inputs=tf.Tensor(shape=(None, 2, 1), dtype=float32)"
"('centroid', 'rms_energy')",Error,0.0,"Exception encountered when calling Conv1D.call().

[1mNegative dimension size caused by subtracting 3 from 2 for '{{node sequential_105_1/conv1d_35_1/convolution}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](sequential_105_1/conv1d_35_1/convolution/ExpandDims, sequential_105_1/conv1d_35_1/convolution/ExpandDims_1)' with input shapes: [?,1,2,1], [1,3,1,32].[0m

Arguments received by Conv1D.call():
  • inputs=tf.Tensor(shape=(None, 2, 1), dtype=float32)"
"('zcr', 'centroid')",Error,0.0,"Exception encountered when calling Conv1D.call().

[1mNegative dimension size caused by subtracting 3 from 2 for '{{node sequential_97_1/conv1d_31_1/convolution}} = Conv2D[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 1, 1, 1], use_cudnn_on_gpu=true](sequential_97_1/conv1d_31_1/convolution/ExpandDims, sequential_97_1/conv1d_31_1/convolution/ExpandDims_1)' with input shapes: [?,1,2,1], [1,3,1,32].[0m

Arguments received by Conv1D.call():
  • inputs=tf.Tensor(shape=(None, 2, 1), dtype=float32)"
"('rms_energy',)",Error,0.0,"Computed output size would be negative. Received `inputs shape=(None, 1, 1)`, `kernel shape=(3, 1, 32)`, `dilation_rate=[1]`."
"('zcr', 'rolloff', 'centroid')",Error,0.0,"Exception encountered when calling MaxPooling1D.call().

[1mNegative dimension size caused by subtracting 2 from 1 for '{{node sequential_200_1/max_pooling1d_67_1/MaxPool1d}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 1, 2, 1], padding=""VALID"", strides=[1, 1, 2, 1]](sequential_200_1/max_pooling1d_67_1/MaxPool1d/ExpandDims)' with input shapes: [?,1,1,32].[0m

Arguments received by MaxPooling1D.call():
  • inputs=tf.Tensor(shape=(None, 1, 32), dtype=float32)"
"('zcr', 'rolloff', 'rms_energy')",Error,0.0,"Exception encountered when calling MaxPooling1D.call().

[1mNegative dimension size caused by subtracting 2 from 1 for '{{node sequential_202_1/max_pooling1d_68_1/MaxPool1d}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 1, 2, 1], padding=""VALID"", strides=[1, 1, 2, 1]](sequential_202_1/max_pooling1d_68_1/MaxPool1d/ExpandDims)' with input shapes: [?,1,1,32].[0m

Arguments received by MaxPooling1D.call():
  • inputs=tf.Tensor(shape=(None, 1, 32), dtype=float32)"
"('zcr', 'centroid', 'rms_energy')",Error,0.0,"Exception encountered when calling MaxPooling1D.call().

[1mNegative dimension size caused by subtracting 2 from 1 for '{{node sequential_204_1/max_pooling1d_69_1/MaxPool1d}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 1, 2, 1], padding=""VALID"", strides=[1, 1, 2, 1]](sequential_204_1/max_pooling1d_69_1/MaxPool1d/ExpandDims)' with input shapes: [?,1,1,32].[0m

Arguments received by MaxPooling1D.call():
  • inputs=tf.Tensor(shape=(None, 1, 32), dtype=float32)"
"('centroid',)",Error,0.0,"Computed output size would be negative. Received `inputs shape=(None, 1, 1)`, `kernel shape=(3, 1, 32)`, `dilation_rate=[1]`."
"('rolloff', 'centroid', 'rms_energy')",Error,0.0,"Exception encountered when calling MaxPooling1D.call().

[1mNegative dimension size caused by subtracting 2 from 1 for '{{node sequential_206_1/max_pooling1d_70_1/MaxPool1d}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 1, 2, 1], padding=""VALID"", strides=[1, 1, 2, 1]](sequential_206_1/max_pooling1d_70_1/MaxPool1d/ExpandDims)' with input shapes: [?,1,1,32].[0m

Arguments received by MaxPooling1D.call():
  • inputs=tf.Tensor(shape=(None, 1, 32), dtype=float32)"
"('zcr',)",Error,0.0,"Computed output size would be negative. Received `inputs shape=(None, 1, 1)`, `kernel shape=(3, 1, 32)`, `dilation_rate=[1]`."
"('rolloff',)",Error,0.0,"Computed output size would be negative. Received `inputs shape=(None, 1, 1)`, `kernel shape=(3, 1, 32)`, `dilation_rate=[1]`."
