features,model,accuracy,error
"('mfccs', 'chroma', 'spectral_contrast', 'centroid')",CNN,0.8337531685829163,
"('mfccs', 'zcr', 'centroid', 'rms_energy')",CNN,0.8337531685829163,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8312342762947083,
"('mfccs', 'chroma', 'spectral_contrast', 'centroid', 'rms_energy')",Dense NN,0.8312342762947083,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid')",LSTM,0.8312342762947083,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff')",LSTM,0.8312342762947083,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",LSTM,0.8312342762947083,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Dense NN,0.8312342762947083,
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8312342762947083,
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8312342762947083,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8312342762947083,
"('mfccs', 'rolloff', 'centroid')",CNN,0.8287153840065002,
"('mfccs', 'spectral_contrast', 'zcr')",Dense NN,0.8287153840065002,
"('mfccs', 'chroma', 'zcr', 'rms_energy')",CNN,0.8287153840065002,
"('mfccs', 'chroma', 'rms_energy')",Dense NN,0.8287153840065002,
"('mfccs', 'spectral_contrast', 'centroid', 'rms_energy')",LSTM,0.8287153840065002,
"('chroma', 'spectral_contrast', 'zcr', 'rms_energy')",Dense NN,0.8287153840065002,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'rms_energy')",CNN,0.8287153840065002,
"('chroma', 'spectral_contrast', 'rolloff', 'centroid')",CNN,0.8287153840065002,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8287153840065002,
"('mfccs', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",CNN,0.8287153840065002,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.8287153840065002,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",CNN,0.8287153840065002,
"('chroma', 'spectral_contrast')",Dense NN,0.8287153840065002,
"('mfccs', 'chroma', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8287153840065002,
"('chroma', 'spectral_contrast', 'centroid', 'rms_energy')",CNN,0.8287153840065002,
"('chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",CNN,0.8287153840065002,
"('spectral_contrast', 'zcr', 'centroid')",LSTM,0.8287153840065002,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff')",CNN,0.8287153840065002,
"('mfccs', 'zcr', 'rolloff', 'rms_energy')",CNN,0.8261964917182922,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid')",Dense NN,0.8261964917182922,
"('mfccs', 'chroma', 'rms_energy')",CNN,0.8261964917182922,
"('mfccs', 'spectral_contrast', 'rolloff')",LSTM,0.8261964917182922,
"('mfccs', 'spectral_contrast', 'centroid')",Dense NN,0.8261964917182922,
"('mfccs', 'spectral_contrast', 'centroid')",LSTM,0.8261964917182922,
"('mfccs', 'chroma', 'zcr', 'rolloff')",CNN,0.8261964917182922,
"('mfccs', 'spectral_contrast', 'centroid', 'rms_energy')",Dense NN,0.8261964917182922,
