features,model,accuracy
"('chroma', 'spectral_contrast', 'zcr', 'rolloff')",Random Forest,0.8690176322418136
"('spectral_contrast', 'centroid')",Random Forest,0.8690176322418136
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid')",Random Forest,0.8690176322418136
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid')",Random Forest,0.8690176322418136
"('mfccs', 'spectral_contrast')",Random Forest,0.8690176322418136
"('mfccs', 'spectral_contrast', 'rolloff')",Random Forest,0.8690176322418136
"('chroma', 'spectral_contrast')",Random Forest,0.8664987405541562
"('chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Random Forest,0.8664987405541562
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8664987405541562
"('mfccs', 'chroma', 'spectral_contrast', 'zcr')",Random Forest,0.8664987405541562
"('chroma', 'spectral_contrast', 'rms_energy')",Random Forest,0.8664987405541562
"('mfccs', 'spectral_contrast', 'zcr', 'rms_energy')",Random Forest,0.8664987405541562
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8664987405541562
"('mfccs', 'spectral_contrast', 'centroid', 'rms_energy')",Random Forest,0.8664987405541562
"('spectral_contrast', 'centroid', 'rms_energy')",Random Forest,0.8639798488664987
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8639798488664987
"('mfccs', 'spectral_contrast', 'zcr', 'centroid')",Random Forest,0.8639798488664987
"('spectral_contrast', 'rolloff')",Random Forest,0.8639798488664987
"('chroma', 'spectral_contrast', 'zcr', 'centroid')",Random Forest,0.8639798488664987
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.8639798488664987
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Random Forest,0.8639798488664987
"('chroma', 'spectral_contrast', 'rolloff')",Random Forest,0.8639798488664987
"('mfccs', 'spectral_contrast', 'centroid')",Random Forest,0.8639798488664987
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Random Forest,0.8614609571788413
"('mfccs', 'centroid')",Random Forest,0.8614609571788413
"('chroma', 'spectral_contrast', 'centroid', 'rms_energy')",Random Forest,0.8614609571788413
"('chroma', 'spectral_contrast', 'centroid')",Random Forest,0.8614609571788413
"('chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",Random Forest,0.8614609571788413
"('chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8614609571788413
"('spectral_contrast', 'rolloff', 'rms_energy')",Random Forest,0.8614609571788413
"('spectral_contrast', 'zcr', 'rolloff')",Random Forest,0.8614609571788413
"('spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Random Forest,0.8614609571788413
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8614609571788413
"('spectral_contrast',)",SVM,0.8614609571788413
"('spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8589420654911839
"('mfccs', 'zcr', 'centroid')",Random Forest,0.8589420654911839
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Random Forest,0.8589420654911839
"('spectral_contrast', 'zcr', 'rms_energy')",Random Forest,0.8589420654911839
"('spectral_contrast',)",Random Forest,0.8589420654911839
"('spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8564231738035264
"('chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8564231738035264
"('mfccs', 'chroma', 'centroid')",Random Forest,0.8564231738035264
"('spectral_contrast', 'zcr', 'centroid')",Random Forest,0.8564231738035264
"('mfccs', 'zcr', 'centroid', 'rms_energy')",Random Forest,0.8564231738035264
"('mfccs', 'chroma', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.8564231738035264
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.8564231738035264
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.8564231738035264
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8564231738035264
