features,model,accuracy
"('zcr', 'rolloff', 'rms_energy')",SVM,0.7556675062972292
"('chroma', 'rolloff')",SVM,0.7556675062972292
"('chroma', 'zcr', 'rolloff', 'rms_energy')",SVM,0.7556675062972292
"('rolloff', 'rms_energy')",SVM,0.7556675062972292
"('zcr', 'rolloff')",SVM,0.7556675062972292
"('chroma', 'rolloff', 'rms_energy')",SVM,0.7556675062972292
"('chroma', 'zcr', 'rolloff')",SVM,0.7556675062972292
"('rolloff',)",Logistic Regression,0.7531486146095718
"('zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.7531486146095718
"('chroma', 'centroid')",Logistic Regression,0.7531486146095718
"('zcr', 'rolloff')",Logistic Regression,0.7531486146095718
"('rolloff', 'rms_energy')",Logistic Regression,0.7531486146095718
"('rolloff', 'rms_energy')",Random Forest,0.7506297229219143
"('zcr', 'centroid', 'rms_energy')",Random Forest,0.7455919395465995
"('chroma', 'rms_energy')",Random Forest,0.7405541561712846
"('zcr', 'rms_energy')",SVM,0.7380352644836272
"('rolloff', 'centroid')",Random Forest,0.7355163727959698
"('centroid', 'rms_energy')",SVM,0.7329974811083123
"('zcr', 'centroid', 'rms_energy')",SVM,0.7329974811083123
"('centroid', 'rms_energy')",Logistic Regression,0.7329974811083123
"('chroma', 'centroid', 'rms_energy')",SVM,0.7329974811083123
"('zcr', 'centroid', 'rms_energy')",Logistic Regression,0.7329974811083123
"('chroma', 'zcr', 'centroid')",SVM,0.7329974811083123
"('chroma', 'zcr', 'centroid', 'rms_energy')",SVM,0.7329974811083123
"('chroma', 'centroid')",SVM,0.7329974811083123
"('zcr', 'centroid')",SVM,0.7329974811083123
"('centroid',)",SVM,0.7304785894206549
"('zcr', 'rolloff')",Random Forest,0.7304785894206549
"('centroid', 'rms_energy')",Random Forest,0.7229219143576826
"('zcr', 'centroid')",Logistic Regression,0.7229219143576826
"('centroid',)",Logistic Regression,0.7204030226700252
"('zcr',)",SVM,0.7204030226700252
"('chroma', 'rms_energy')",SVM,0.7128463476070529
"('zcr', 'centroid')",Random Forest,0.707808564231738
"('chroma', 'zcr', 'rms_energy')",SVM,0.7002518891687658
"('zcr', 'rms_energy')",Random Forest,0.7002518891687658
"('chroma',)",SVM,0.6977329974811083
"('chroma',)",Random Forest,0.6876574307304786
"('mfccs', 'chroma', 'zcr')",SVM,0.6801007556675063
"('mfccs',)",SVM,0.6801007556675063
"('mfccs', 'zcr', 'rms_energy')",SVM,0.6801007556675063
"('mfccs', 'chroma', 'rms_energy')",SVM,0.6801007556675063
"('mfccs', 'chroma', 'zcr', 'rms_energy')",SVM,0.6801007556675063
"('mfccs', 'chroma')",SVM,0.6801007556675063
"('mfccs', 'zcr')",SVM,0.6801007556675063
"('mfccs', 'rms_energy')",SVM,0.6801007556675063
"('chroma', 'zcr', 'rms_energy')",Logistic Regression,0.6775818639798489
"('chroma', 'zcr')",SVM,0.6775818639798489
"('chroma', 'zcr')",Logistic Regression,0.6775818639798489
"('chroma', 'rms_energy')",Logistic Regression,0.6775818639798489
"('chroma',)",Logistic Regression,0.6700251889168766
"('rolloff',)",Random Forest,0.6372795969773299
"('zcr',)",Random Forest,0.6221662468513854
"('centroid',)",Random Forest,0.6120906801007556
"('rms_energy',)",SVM,0.5994962216624685
"('rms_energy',)",Logistic Regression,0.5390428211586902
"('zcr',)",Logistic Regression,0.5365239294710328
"('zcr', 'rms_energy')",Logistic Regression,0.5340050377833753
"('rms_energy',)",Random Forest,0.45591939546599497
